pop_size,	 sequence_length,	 recombination_rate,	 random_seed,	 dtwf_vs_hudson,	 selective_sweep,	 max_root_time
100,	 100000,	 -7,	 2,	 0,	 0,	 291.000000
100,	 100000,	 -7,	 2,	 0,	 1,	 407.000000
100,	 100000,	 -7,	 2,	 1,	 0,	 537.361541
100,	 100000,	 -7,	 2,	 1,	 1,	 1153.838738
100,	 100000,	 -8,	 1,	 0,	 0,	 844.000000
100,	 100000,	 -8,	 1,	 0,	 1,	 878.000000
100,	 100000,	 -8,	 1,	 1,	 0,	 249.642492
100,	 100000,	 -8,	 1,	 1,	 1,	 193.800339
100,	 100000,	 -8,	 2,	 0,	 0,	 458.000000
100,	 100000,	 -8,	 2,	 0,	 1,	 124.000000
100,	 100000,	 -8,	 2,	 1,	 0,	 1625.059921
100,	 100000,	 -8,	 2,	 1,	 1,	 344.582152
100,	 100000,	 -9,	 1,	 0,	 0,	 248.000000
100,	 100000,	 -9,	 1,	 0,	 1,	 282.000000
100,	 100000,	 -9,	 1,	 1,	 0,	 1033.611378
100,	 100000,	 -9,	 1,	 1,	 1,	 193.800339
100,	 100000,	 -9,	 2,	 0,	 0,	 124.000000
100,	 100000,	 -9,	 2,	 0,	 1,	 141.000000
100,	 100000,	 -9,	 2,	 1,	 0,	 1095.096855
100,	 100000,	 -9,	 2,	 1,	 1,	 344.582152
1000,	 1000,	 -7,	 1,	 0,	 0,	 2852.000000
1000,	 1000,	 -7,	 1,	 0,	 1,	 3109.000000
1000,	 1000,	 -7,	 1,	 1,	 0,	 2496.804763
1000,	 1000,	 -7,	 1,	 1,	 1,	 2354.876649
1000,	 1000,	 -7,	 2,	 0,	 0,	 6368.000000
1000,	 1000,	 -7,	 2,	 0,	 1,	 4366.000000
1000,	 1000,	 -7,	 2,	 1,	 0,	 16258.418807
1000,	 1000,	 -7,	 2,	 1,	 1,	 6844.360745
1000,	 1000,	 -8,	 1,	 0,	 0,	 4708.000000
1000,	 1000,	 -8,	 1,	 0,	 1,	 2514.000000
1000,	 1000,	 -8,	 1,	 1,	 0,	 10336.114377
1000,	 1000,	 -8,	 1,	 1,	 1,	 2637.966253
1000,	 1000,	 -8,	 2,	 0,	 0,	 6364.000000
1000,	 1000,	 -8,	 2,	 0,	 1,	 7431.000000
1000,	 1000,	 -8,	 2,	 1,	 0,	 10950.968551
1000,	 1000,	 -8,	 2,	 1,	 1,	 4077.991416
1000,	 1000,	 -9,	 1,	 0,	 0,	 4708.000000
1000,	 1000,	 -9,	 1,	 0,	 1,	 2514.000000
1000,	 1000,	 -9,	 1,	 1,	 0,	 4304.172778
1000,	 1000,	 -9,	 1,	 1,	 1,	 2637.966253
1000,	 1000,	 -9,	 2,	 0,	 0,	 6364.000000
1000,	 1000,	 -9,	 2,	 0,	 1,	 7431.000000
1000,	 1000,	 -9,	 2,	 1,	 0,	 10950.968551
1000,	 1000,	 -9,	 2,	 1,	 1,	 4077.991416
1000,	 10000,	 -7,	 1,	 0,	 0,	 7787.000000
1000,	 10000,	 -7,	 1,	 0,	 1,	 4097.000000
1000,	 10000,	 -7,	 1,	 1,	 0,	 10444.517589
1000,	 10000,	 -7,	 1,	 1,	 1,	 5808.188870
1000,	 10000,	 -7,	 2,	 0,	 0,	 4287.000000
1000,	 10000,	 -7,	 2,	 0,	 1,	 6340.000000
1000,	 10000,	 -7,	 2,	 1,	 0,	 5373.774563
1000,	 10000,	 -7,	 2,	 1,	 1,	 10051.890469
1000,	 10000,	 -8,	 1,	 0,	 0,	 2852.000000
1000,	 10000,	 -8,	 1,	 0,	 1,	 3109.000000
1000,	 10000,	 -8,	 1,	 1,	 0,	 2496.459424
1000,	 10000,	 -8,	 1,	 1,	 1,	 2354.738524
1000,	 10000,	 -8,	 2,	 0,	 0,	 6368.000000
1000,	 10000,	 -8,	 2,	 0,	 1,	 4366.000000
1000,	 10000,	 -8,	 2,	 1,	 0,	 16251.309445
1000,	 10000,	 -8,	 2,	 1,	 1,	 6842.394542
1000,	 10000,	 -9,	 1,	 0,	 0,	 4708.000000
1000,	 10000,	 -9,	 1,	 0,	 1,	 2514.000000
1000,	 10000,	 -9,	 1,	 1,	 0,	 10336.113834
1000,	 10000,	 -9,	 1,	 1,	 1,	 2637.966253
1000,	 10000,	 -9,	 2,	 0,	 0,	 6364.000000
1000,	 10000,	 -9,	 2,	 0,	 1,	 7431.000000
1000,	 10000,	 -9,	 2,	 1,	 0,	 10950.968551
1000,	 10000,	 -9,	 2,	 1,	 1,	 4077.991416
1000,	 100000,	 -7,	 1,	 0,	 0,	 6347.000000
1000,	 100000,	 -7,	 1,	 0,	 1,	 14792.000000
1000,	 100000,	 -7,	 1,	 1,	 0,	 15378.541794
1000,	 100000,	 -7,	 1,	 1,	 1,	 10166.800717
1000,	 100000,	 -7,	 2,	 0,	 0,	 7738.000000
1000,	 100000,	 -7,	 2,	 0,	 1,	 8223.000000
1000,	 100000,	 -7,	 2,	 1,	 0,	 7293.015722
1000,	 100000,	 -7,	 2,	 1,	 1,	 12231.394403
1000,	 100000,	 -8,	 1,	 0,	 0,	 7787.000000
1000,	 100000,	 -8,	 1,	 0,	 1,	 4097.000000
1000,	 100000,	 -8,	 1,	 1,	 0,	 10441.873272
1000,	 100000,	 -8,	 1,	 1,	 1,	 5807.577531
1000,	 100000,	 -8,	 2,	 0,	 0,	 4287.000000
1000,	 100000,	 -8,	 2,	 0,	 1,	 6340.000000
1000,	 100000,	 -8,	 2,	 1,	 0,	 5373.615409
1000,	 100000,	 -8,	 2,	 1,	 1,	 10051.283000
1000,	 100000,	 -9,	 1,	 0,	 0,	 2852.000000
1000,	 100000,	 -9,	 1,	 0,	 1,	 3109.000000
1000,	 100000,	 -9,	 1,	 1,	 0,	 2496.424924
1000,	 100000,	 -9,	 1,	 1,	 1,	 2354.724725
1000,	 100000,	 -9,	 2,	 0,	 0,	 6368.000000
1000,	 100000,	 -9,	 2,	 0,	 1,	 4366.000000
1000,	 100000,	 -9,	 2,	 1,	 0,	 16250.599212
1000,	 100000,	 -9,	 2,	 1,	 1,	 6842.198116
